"posteam","defteam","play_type","yards_gained","air_yards","yards_after_catch","down","big_play"
NA,NA,NA,NA,NA,NA,NA,NA
"ARI","NO","kickoff",0,NA,NA,NA,"No"
"ARI","NO","run",3,NA,NA,1,"No"
"ARI","NO","pass",11,3,8,2,"No"
"ARI","NO","pass",-11,NA,NA,1,"No"
"ARI","NO","run",-2,NA,NA,2,"No"
"ARI","NO","run",1,NA,NA,3,"No"
"ARI","NO","punt",0,NA,NA,4,"No"
"NO","ARI","run",3,NA,NA,1,"No"
"NO","ARI","pass",0,2,NA,2,"No"
"NO","ARI","pass",0,14,NA,3,"No"
"NO","ARI","punt",0,NA,NA,4,"No"
"ARI","NO","pass",5,-3,8,1,"No"
"ARI","NO","run",13,NA,NA,2,"No"
"ARI","NO","run",1,NA,NA,1,"No"
"ARI","NO","pass",0,NA,NA,2,"No"
"ARI","NO","no_play",0,NA,NA,3,"No"
"ARI","NO","no_play",0,NA,NA,1,"No"
"ARI","NO","pass",0,NA,NA,1,"No"
"ARI","NO","run",12,NA,NA,2,"No"
"ARI","NO","pass",5,3,2,3,"No"
"ARI","NO","run",3,NA,NA,1,"No"
"ARI","NO","pass",0,4,NA,2,"No"
"ARI","NO","no_play",0,NA,NA,3,"No"
"ARI","NO","pass",0,22,NA,3,"No"
"ARI","NO","field_goal",0,NA,NA,4,"No"
"NO","ARI","kickoff",0,NA,NA,NA,"No"
"NO","ARI","pass",11,5,6,1,"No"
"NO","ARI","run",2,NA,NA,1,"No"
"NO","ARI","pass",13,13,0,2,"No"
"NO","ARI","no_play",0,NA,NA,1,"No"
"NO","ARI","run",10,NA,NA,1,"No"
"NO","ARI","no_play",0,NA,NA,2,"No"
"NO","ARI","no_play",0,NA,NA,2,"No"
"NO","ARI","run",9,NA,NA,1,"No"
"NO","ARI","run",2,NA,NA,2,"No"
"NO","ARI","no_play",0,NA,NA,1,"No"
"NO","ARI","run",6,NA,NA,1,"No"
"NO","ARI","pass",12,3,9,2,"No"
"NO","ARI",NA,NA,NA,NA,NA,NA
"NO","ARI","pass",7,-5,12,1,"No"
"NO","ARI","run",18,NA,NA,2,"No"
"NO","ARI","extra_point",0,NA,NA,NA,"No"
"ARI","NO","kickoff",0,NA,NA,NA,"No"
"ARI","NO","pass",6,-2,8,1,"No"
"ARI","NO","pass",45,39,6,2,"Yes"
"ARI","NO","run",4,NA,NA,1,"No"
"ARI","NO","run",4,NA,NA,2,"No"
"ARI","NO","run",3,NA,NA,3,"No"
"ARI","NO","no_play",0,NA,NA,1,"No"
"ARI","NO","run",0,NA,NA,1,"No"
"ARI","NO","pass",1,1,0,2,"No"
"ARI","NO","extra_point",0,NA,NA,NA,"No"
"NO","ARI","kickoff",0,NA,NA,NA,"No"
"NO","ARI","run",4,NA,NA,1,"No"
"NO","ARI","pass",5,5,0,2,"No"
"NO","ARI","no_play",0,NA,NA,3,"No"
"NO","ARI","pass",10,6,4,3,"No"
"NO","ARI","run",5,NA,NA,1,"No"
"NO","ARI","pass",4,1,3,2,"No"
"NO","ARI","run",8,NA,NA,3,"No"
"NO","ARI","run",2,NA,NA,1,"No"
"NO","ARI","pass",0,21,NA,2,"No"
"NO","ARI","pass",3,3,0,3,"No"
"NO","ARI","field_goal",0,NA,NA,4,"No"
"ARI","NO","kickoff",0,NA,NA,NA,"No"
"ARI","NO","pass",0,4,NA,1,"No"
"ARI","NO","pass",0,5,NA,2,"No"
"ARI","NO","pass",11,5,6,3,"No"
"ARI","NO","run",2,NA,NA,1,"No"
"ARI","NO","no_play",0,NA,NA,1,"No"
"ARI","NO","pass",-3,-5,2,1,"No"
"ARI","NO","pass",11,11,0,2,"No"
"ARI","NO","pass",25,13,12,3,"Yes"
"ARI","NO","no_play",0,NA,NA,1,"No"
"ARI","NO","run",7,NA,NA,1,"No"
"ARI","NO","pass",4,-5,9,1,"No"
"ARI","NO","pass",4,-2,6,2,"No"
"ARI","NO","extra_point",0,NA,NA,NA,"No"
"NO","ARI","kickoff",0,NA,NA,NA,"No"
"NO","ARI","run",6,NA,NA,1,"No"
NA,NA,NA,NA,NA,NA,NA,NA
"NO","ARI","kickoff",0,NA,NA,NA,"No"
"NO","ARI","pass",2,-3,5,1,"No"
"NO","ARI","pass",17,17,0,2,"No"
"NO","ARI","run",1,NA,NA,1,"No"
"NO","ARI","pass",2,2,0,2,"No"
"NO","ARI","pass",-6,NA,NA,3,"No"
"NO","ARI","punt",0,NA,NA,4,"No"
"ARI","NO","pass",-1,-6,5,1,"No"
"ARI","NO","run",52,NA,NA,2,"Yes"
"ARI","NO","pass",0,22,NA,1,"No"
"ARI","NO","run",0,NA,NA,2,"No"
"ARI","NO","pass",-2,-2,0,3,"No"
"ARI","NO","field_goal",0,NA,NA,4,"No"
"NO","ARI","kickoff",0,NA,NA,NA,"No"
"NO","ARI","pass",0,8,NA,1,"No"
"NO","ARI","pass",12,9,3,2,"No"
"NO","ARI","run",3,NA,NA,1,"No"
